"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Brpf1",1.5860322415858e-13,-0.298390279864013,0.297,0.431,3.98554041988095e-09
"Lpcat4",1.63877447115742e-13,0.59781004445919,0.556,0.513,4.11807636857148e-09
"Tma7",1.67013952167859e-13,0.357315671467163,0.697,0.73,4.19689360402614e-09
"Pfn1",1.7105347584144e-13,0.593065935794901,0.651,0.616,4.29840279441955e-09
"Gabbr2",1.77084370642494e-13,-0.403952594841556,0.399,0.584,4.44995314987523e-09
"Fnbp1",2.00114368222861e-13,-0.277423556911431,0.312,0.442,5.02867395907227e-09
"Sptbn4",2.27035985210805e-13,-0.463116812690298,0.221,0.349,5.70518727236232e-09
"Rps16",2.3885704519836e-13,0.428818231616674,0.953,0.937,6.00223868878959e-09
"Cops9",2.38982025687895e-13,0.347142133219118,0.674,0.692,6.00537932351112e-09
"Fmn2",2.49866697128425e-13,-0.316617994859537,0.576,0.751,6.27890023214019e-09
"Maco1",2.67369864721193e-13,-0.301866449433641,0.266,0.392,6.71873733057887e-09
"Atp6v0c",2.74933171486334e-13,0.386666166007266,0.979,0.984,6.9087956662801e-09
"Map1lc3a",2.90203377707783e-13,0.274771175549708,0.805,0.847,7.29252067841889e-09
"Ube2o",2.91448157723638e-13,-0.350331227014639,0.336,0.488,7.3238007554373e-09
"Atf7",3.10699184079357e-13,-0.333470028369199,0.314,0.46,7.80755979673016e-09
"Rundc3b",3.14061202023578e-13,-0.654594411522617,0.17,0.305,7.89204394565049e-09
"Gm47283",3.44082597681766e-13,-0.684951750259126,0.23,0.42,8.64645159714509e-09
"Rpl28",3.55220267192048e-13,0.404285827567148,0.983,0.978,8.92633009426897e-09
"mt-Atp8",3.68745317136981e-13,-1.04231103151832,0.295,0.565,9.2662010743352e-09
"Trip4",3.75457317431938e-13,-0.345407684326516,0.181,0.27,9.43486692974717e-09
"Snca",3.88052695174585e-13,0.285977455855485,0.746,0.763,9.75137617704215e-09
"Son",4.03424610811754e-13,0.259599368250453,0.912,0.941,1.01376570450886e-08
"Ptges3",4.28687700404298e-13,0.267433958614622,0.74,0.799,1.07724932234596e-08
"D8Ertd738e",4.54396187820477e-13,0.26258265566624,0.484,0.522,1.14185218037408e-08
"Rps12",4.71783827841538e-13,0.362590752834221,0.979,0.972,1.185545580983e-08
"Srp9",4.79873124993868e-13,0.280056309213369,0.514,0.557,1.20587317579709e-08
"Ube2d3",4.87971942386221e-13,0.299904627797271,0.636,0.681,1.22622469402233e-08
"1810037I17Rik",5.02659732815741e-13,0.415876266472185,0.772,0.792,1.26313364259268e-08
"Bcl2l1",5.04200013491366e-13,-0.40033384025213,0.195,0.309,1.26700421390245e-08
"Uqcr11",5.1958163426557e-13,0.535411248818563,0.754,0.736,1.30565668874595e-08
"mt-Nd6",5.28954645495767e-13,-1.19096177783458,0.115,0.28,1.32921012866631e-08
"Smg6",5.34956309903197e-13,-0.380107320457913,0.296,0.443,1.34429171115574e-08
"Tarsl2",5.53409968426911e-13,-0.263273395942267,0.624,0.793,1.39066390965998e-08
"Dync1i2",5.72229680664996e-13,-0.390442552522829,0.691,0.865,1.43795596454307e-08
"Gadl1",6.13520620305425e-13,-0.437697330182311,0.555,0.771,1.5417159667655e-08
"Snrpf",6.69656918064501e-13,0.536393633176738,0.679,0.657,1.68278086940428e-08
"Scaper",6.90296945325487e-13,-0.666995534547336,0.181,0.318,1.73464719390842e-08
"Etv3",7.29893731874197e-13,-0.567107129096109,0.266,0.436,1.83414995882667e-08
"Uqcrq",7.81441424882922e-13,0.322966158957558,0.908,0.939,1.9636841565883e-08
"Ppp3r1",7.97318998166709e-13,-0.514691459289964,0.238,0.394,2.00358291049312e-08
"Mt2",8.02259148164454e-13,0.681485181395066,0.64,0.584,2.01599701342246e-08
"Slc25a3",8.47643205142693e-13,0.329627750313304,0.896,0.926,2.13004261020307e-08
"Dnaja1",8.59429324517838e-13,0.327838699484965,0.984,0.991,2.15965994958087e-08
"Nsg2",8.94050635724279e-13,-0.655761666395805,0.376,0.612,2.24665984251154e-08
"Cfap58",9.75415982153767e-13,-0.356397542065915,0.213,0.323,2.4511228215542e-08
"Cox7b",1.06390611553194e-12,0.3978444911254,0.905,0.923,2.6734896777202e-08
"Glb1l2",1.07009552847019e-12,-0.410266471460628,0.449,0.643,2.68904305349274e-08
"Slc39a3",1.09307212325155e-12,-0.309140103939863,0.231,0.334,2.74678093851882e-08
"Psma3",1.12069718621928e-12,0.286402352447919,0.793,0.846,2.81619995925043e-08
"Eef1b2",1.17540836005586e-12,0.464910710403348,0.626,0.615,2.95368366798437e-08
"Rpl7",1.29358150950139e-12,0.324522872722663,0.952,0.958,3.25064097522604e-08
"Btbd8",1.37333835048386e-12,-0.446639890992375,0.479,0.675,3.4510619409309e-08
"Ctnna1",1.4090947020389e-12,-0.414393749024024,0.344,0.514,3.54091407675356e-08
"Kmt5b",1.80023489609625e-12,-0.313581431306904,0.286,0.413,4.52381027040028e-08
"Nbea",1.83239893768461e-12,-0.414165134847571,0.483,0.681,4.60463529050765e-08
"S100a5",1.83759251755175e-12,0.684276864244161,0.942,0.922,4.61768623735578e-08
"Nedd8",1.86610774834164e-12,0.26318286209927,0.733,0.8,4.68934216080772e-08
"Ube2s",1.90916756435486e-12,0.312877690326706,0.982,0.99,4.79754717246734e-08
"Fam193a",1.96151668812997e-12,-0.289054160338372,0.193,0.278,4.92909528560179e-08
"Kif5a",1.9823927947248e-12,-0.495834417213715,0.456,0.673,4.98155485386396e-08
"Adam22",2.13488424340136e-12,-0.412040831591077,0.245,0.375,5.36475061524327e-08
"Tpm1",2.27055550736029e-12,-0.393011760090545,0.324,0.496,5.70567893444567e-08
"Med12l",2.34824447613806e-12,-0.505474314012866,0.279,0.44,5.90090354408732e-08
"Uchl1",2.50103540557998e-12,0.265281350407663,0.942,0.966,6.28485187068193e-08
"Micos10",2.61977930657684e-12,0.317790035607747,0.568,0.597,6.58324341949694e-08
"Mak",2.7639682641076e-12,-0.621124556069755,0.169,0.289,6.94557585087598e-08
