"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099502","GO:0099502","calcium-dependent activation of synaptic vesicle fusion","3/146","21/28832",0.142857142857143,28.2113502935421,8.89921825613489,0.000158224900678129,0.00836881434127294,0.00710774162647983,"Rims2/Rims1/Cacna1b",3
"GO:1901634","GO:1901634","positive regulation of synaptic vesicle membrane organization","3/146","21/28832",0.142857142857143,28.2113502935421,8.89921825613489,0.000158224900678129,0.00836881434127294,0.00710774162647983,"Rims2/Rims1/Cacna1b",3
"GO:0043954","GO:0043954","cellular component maintenance","5/146","103/28832",0.0485436893203883,9.58638116770847,6.22787382680197,0.000182654661416276,0.00940671506293821,0.00798924405474515,"Dlg2/Rims2/Cttn/Tjp1/Rims1",5
"GO:0050768","GO:0050768","negative regulation of neurogenesis","6/146","163/28832",0.0368098159509202,7.26918228422557,5.72624217692532,0.000188015521655817,0.00943452245847269,0.0080128612333208,"Rnf10/Rb1/Ulk2/Ppp3ca/D130043K22Rik/Casz1",6
"GO:0006887","GO:0006887","exocytosis","9/146","397/28832",0.0226700251889169,4.47686415237569,4.97654165181023,0.000200093171391076,0.00965765242489446,0.00820236838281384,"Unc13c/Cacna1d/Pik3c2a/Rims2/Rims1/Cdk5r2/Ppfia2/Cacna1b/Sv2a",9
"GO:0060251","GO:0060251","regulation of glial cell proliferation","4/146","57/28832",0.0701754385964912,13.85820716174,6.93236568895106,0.000202332012989613,0.00965765242489446,0.00820236838281384,"Rnf10/Rb1/Slc7a5/Atxn1",4
"GO:0140029","GO:0140029","exocytic process","5/146","111/28832",0.045045045045045,8.89547081327903,5.94581000223212,0.000258898889382545,0.0116968925561538,0.00993432124689604,"Unc13c/Rims2/Rims1/Cacna1b/Sv2a",5
"GO:0051961","GO:0051961","negative regulation of nervous system development","6/146","173/28832",0.0346820809248555,6.8489983371605,5.50484781505381,0.00025928394955266,0.0116968925561538,0.00993432124689604,"Rnf10/Rb1/Ulk2/Ppp3ca/D130043K22Rik/Casz1",6
"GO:0042063","GO:0042063","gliogenesis","9/146","412/28832",0.0218446601941748,4.31387152546881,4.83329744172539,0.000262985831615107,0.0116968925561538,0.00993432124689604,"Rnf10/Rb1/Ppp3r1/Nfix/Casz1/Slc7a5/Sos1/Cdk5r2/Atxn1",9
"GO:2000300","GO:2000300","regulation of synaptic vesicle exocytosis","4/146","64/28832",0.0625,12.3424657534247,6.4805805426671,0.000316649324523424,0.0132235746661513,0.011230951993036,"Cacna1d/Rims2/Rims1/Ppfia2",4
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","5/146","116/28832",0.0431034482758621,8.51204534718942,5.78357680227093,0.000317510572821789,0.0132235746661513,0.011230951993036,"Nme7/Ndufa1/Ndufa7/mt-Atp8/mt-Nd6",5
"GO:0045926","GO:0045926","negative regulation of growth","7/146","253/28832",0.0276679841897233,5.46385835724728,5.087664163387,0.000317582018042469,0.0132235746661513,0.011230951993036,"Mt1/Rb1/Ulk2/Mt2/Socs2/D130043K22Rik/Ppt1",7
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","5/146","117/28832",0.0427350427350427,8.43929282285447,5.75229907700249,0.000330347233375435,0.0134685319940776,0.0114389974013117,"Nme7/Ndufa1/Ndufa7/mt-Atp8/mt-Nd6",5
"GO:0016072","GO:0016072","rRNA metabolic process","7/146","256/28832",0.02734375,5.39982876712329,5.04459520638962,0.000340936061275704,0.0136165688146235,0.0115647269764627,"Rpl35a/Rpl27/Rps21/Mtrex/Nob1/Nop10/Rps28",7
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","4/146","67/28832",0.0597014925373134,11.7898180331221,6.30798448651264,0.000377527494412516,0.0142404085226266,0.0120945620618172,"Ndufa1/Ndufa7/mt-Atp8/mt-Nd6",4
"GO:0031630","GO:0031630","regulation of synaptic vesicle fusion to presynaptic active zone membrane","3/146","28/28832",0.107142857142857,21.1585127201566,7.61346552441829,0.000379742875166447,0.0142404085226266,0.0120945620618172,"Rims2/Rims1/Cacna1b",3
"GO:1901632","GO:1901632","regulation of synaptic vesicle membrane organization","3/146","28/28832",0.107142857142857,21.1585127201566,7.61346552441829,0.000379742875166447,0.0142404085226266,0.0120945620618172,"Rims2/Rims1/Cacna1b",3
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","5/146","121/28832",0.0413223140495868,8.16030793614853,5.63081824897642,0.000385662571128876,0.0142404085226266,0.0120945620618172,"Nme7/Ndufa1/Ndufa7/mt-Atp8/mt-Nd6",5
"GO:0034331","GO:0034331","cell junction maintenance","4/146","69/28832",0.0579710144927536,11.4480841770895,6.19891100695748,0.00042248813175807,0.0153112828490841,0.0130040693966081,"Dlg2/Rims2/Tjp1/Rims1",4
"GO:0031340","GO:0031340","positive regulation of vesicle fusion","3/146","30/28832",0.1,19.7479452054795,7.32949855874521,0.000467146342857859,0.0163250963030862,0.0138651141987323,"Rims2/Rims1/Cacna1b",3
"GO:0032253","GO:0032253","dense core granule localization","3/146","30/28832",0.1,19.7479452054795,7.32949855874521,0.000467146342857859,0.0163250963030862,0.0138651141987323,"Unc13c/Rims1/Ppfia2",3
